Map,Agents,TimeLimit,Seed,Success,Cost,RealTime_s
room-32-32-4.map,20,30,1,True,529,0.08463788032531738
room-32-32-4.map,20,30,2,True,533,0.0619659423828125
room-32-32-4.map,20,30,3,False,-1,30.03127098083496
room-32-32-4.map,20,30,4,False,-1,30.034461975097656
room-32-32-4.map,20,30,5,True,515,0.06451010704040527
room-32-32-4.map,20,30,6,False,-1,30.030744075775146
room-32-32-4.map,20,30,7,True,516,0.08691811561584473
room-32-32-4.map,20,30,8,True,531,0.10238480567932129
room-32-32-4.map,20,30,9,True,523,0.07297706604003906
room-32-32-4.map,20,30,10,False,-1,30.03514814376831
room-32-32-4.map,20,60,1,True,529,0.1000528335571289
room-32-32-4.map,20,60,2,True,533,0.06569600105285645
room-32-32-4.map,20,60,3,False,-1,60.035255908966064
room-32-32-4.map,20,60,4,False,-1,60.04123783111572
room-32-32-4.map,20,60,5,True,515,0.06537389755249023
room-32-32-4.map,20,60,6,False,-1,60.03040885925293
room-32-32-4.map,20,60,7,True,516,0.06872224807739258
room-32-32-4.map,20,60,8,True,531,0.10040497779846191
room-32-32-4.map,20,60,9,True,523,0.0714569091796875
room-32-32-4.map,20,60,10,False,-1,60.031919956207275
room-32-32-4.map,20,90,1,True,529,0.08559060096740723
room-32-32-4.map,20,90,2,True,533,0.0630800724029541
room-32-32-4.map,20,90,3,False,-1,90.028804063797
room-32-32-4.map,20,90,4,False,-1,90.02999377250671
room-32-32-4.map,20,90,5,True,515,0.06736898422241211
room-32-32-4.map,20,90,6,False,-1,90.03227806091309
room-32-32-4.map,20,90,7,True,516,0.06679701805114746
room-32-32-4.map,20,90,8,True,531,0.10228610038757324
room-32-32-4.map,20,90,9,True,523,0.07141804695129395
room-32-32-4.map,20,90,10,False,-1,90.03052496910095
room-32-32-4.map,20,120,1,True,529,0.08309698104858398
room-32-32-4.map,20,120,2,True,533,0.062333106994628906
room-32-32-4.map,20,120,3,False,-1,120.03201389312744
room-32-32-4.map,20,120,4,False,-1,120.03292632102966
room-32-32-4.map,20,120,5,True,515,0.06837606430053711
room-32-32-4.map,20,120,6,False,-1,120.03286933898926
room-32-32-4.map,20,120,7,True,516,0.06975412368774414
room-32-32-4.map,20,120,8,True,531,0.100128173828125
room-32-32-4.map,20,120,9,True,523,0.06985807418823242
room-32-32-4.map,20,120,10,False,-1,120.02944421768188
room-32-32-4.map,20,150,1,True,529,0.08329105377197266
room-32-32-4.map,20,150,2,True,533,0.0629880428314209
room-32-32-4.map,20,150,3,False,-1,150.03361082077026
room-32-32-4.map,20,150,4,False,-1,150.0483169555664
room-32-32-4.map,20,150,5,True,515,0.07207107543945312
room-32-32-4.map,20,150,6,False,-1,150.0312819480896
room-32-32-4.map,20,150,7,True,516,0.06811308860778809
room-32-32-4.map,20,150,8,True,531,0.10104870796203613
room-32-32-4.map,20,150,9,True,523,0.07243871688842773
room-32-32-4.map,20,150,10,False,-1,150.03255009651184
room-32-32-4.map,40,30,1,False,-1,30.03385901451111
room-32-32-4.map,40,30,2,False,-1,30.032408952713013
room-32-32-4.map,40,30,3,False,-1,30.03350520133972
room-32-32-4.map,40,30,4,True,1169,0.35041308403015137
room-32-32-4.map,40,30,5,False,-1,30.030635118484497
room-32-32-4.map,40,30,6,False,-1,30.03353500366211
room-32-32-4.map,40,30,7,False,-1,30.03253197669983
room-32-32-4.map,40,30,8,False,-1,30.03350281715393
room-32-32-4.map,40,30,9,True,1252,9.776465892791748
room-32-32-4.map,40,30,10,False,-1,30.032296895980835
room-32-32-4.map,40,60,1,False,-1,60.03215789794922
room-32-32-4.map,40,60,2,False,-1,60.03285598754883
room-32-32-4.map,40,60,3,False,-1,60.03294825553894
room-32-32-4.map,40,60,4,True,1169,0.35138893127441406
room-32-32-4.map,40,60,5,False,-1,60.03107476234436
room-32-32-4.map,40,60,6,False,-1,60.033583879470825
room-32-32-4.map,40,60,7,False,-1,60.03516888618469
room-32-32-4.map,40,60,8,False,-1,60.03188729286194
room-32-32-4.map,40,60,9,True,1252,9.53085994720459
room-32-32-4.map,40,60,10,False,-1,60.03184676170349
room-32-32-4.map,40,90,1,False,-1,90.03502202033997
room-32-32-4.map,40,90,2,False,-1,90.03204083442688
room-32-32-4.map,40,90,3,False,-1,90.03313374519348
room-32-32-4.map,40,90,4,True,1169,0.3480679988861084
room-32-32-4.map,40,90,5,False,-1,90.03273320198059
room-32-32-4.map,40,90,6,False,-1,90.03891372680664
room-32-32-4.map,40,90,7,False,-1,90.03173398971558
room-32-32-4.map,40,90,8,False,-1,90.03354907035828
room-32-32-4.map,40,90,9,True,1252,9.536655187606812
room-32-32-4.map,40,90,10,False,-1,90.03136491775513
room-32-32-4.map,40,120,1,False,-1,120.03263878822327
room-32-32-4.map,40,120,2,False,-1,120.03327202796936
room-32-32-4.map,40,120,3,False,-1,120.0319471359253
room-32-32-4.map,40,120,4,True,1169,0.34481000900268555
room-32-32-4.map,40,120,5,False,-1,120.03019189834595
