Map,Agents,TimeLimit,Seed,Success,Cost,RealTime_s
room-32-32-4.map,30,30,1,True,799,30.045783042907715
room-32-32-4.map,30,90,1,True,799,90.06772589683533
room-32-32-4.map,30,150,1,True,799,150.0732820034027
room-32-32-4.map,60,30,1,False,-1,30.031575202941895
room-32-32-4.map,60,90,1,False,-1,90.03437304496765
room-32-32-4.map,60,150,1,False,-1,150.03318190574646
room-32-32-4.map,90,30,1,False,-1,30.051568269729614
room-32-32-4.map,90,90,1,False,-1,90.04365706443787
room-32-32-4.map,90,150,1,False,-1,150.05621719360352
maze-32-32-4.map,30,30,1,True,1373,30.04278802871704
maze-32-32-4.map,30,90,1,True,1373,90.05421900749207
maze-32-32-4.map,30,150,1,True,1373,150.06436896324158
maze-32-32-4.map,60,30,1,False,-1,30.031389951705933
maze-32-32-4.map,60,90,1,False,-1,90.03705596923828
maze-32-32-4.map,60,150,1,False,-1,150.03435015678406
maze-32-32-4.map,90,30,1,False,-1,30.033154010772705
maze-32-32-4.map,90,90,1,False,-1,96.70024394989014
maze-32-32-4.map,90,150,1,False,-1,1010.8739931583405
random-32-32-10.map,30,30,1,True,627,1038.005891084671
random-32-32-10.map,30,90,1,True,627,284.34464168548584
random-32-32-10.map,30,150,1,True,627,150.17416071891785
random-32-32-10.map,60,30,1,True,1349,30.051294803619385
random-32-32-10.map,60,90,1,True,1349,90.0697820186615
random-32-32-10.map,60,150,1,True,1349,150.09578490257263
random-32-32-10.map,90,30,1,True,1950,30.048487901687622
random-32-32-10.map,90,90,1,True,1950,90.06470513343811
random-32-32-10.map,90,150,1,True,1950,150.08266282081604
